何ステージ目か,質問文(改行＝\n),選択文⓪,選択文①,選択文②,選択文③,正解番号(0-3),解説or一言文(改行＝\n)
1,「天空の城ラピュタ」より、序盤から飛行石を手中に入れようと企んでいた特務機関の指揮官の名前は？,パズー,シータ,ムスカ,ドーラ,2,ジブリ作品の中でもトップレベルで有名なキャラクターの一人でしょう。
1,「天空の城ラピュタ」より、ラピュタの封印を解く為の滅びの呪文といえば何？,バルサミコス,パルス,バルサン,バルス,3,今では知らない人を探す方が苦労しそうなレベルで有名な呪文ですね。
1,「となりのトトロ」より、サツキとメイの母親が入院していた病院の名前は何？,煉獄山病院,七国山病院,大国山病院,蓬莱山病院,1,現実で『七国山病院』という病院は実在しないようですが、モデルとなった病院は存在するようですよ。
1,「となりのトトロ」より、トウモロコシを「とうもころし」と言い間違えるメイですが、オタマジャクシの事は何と呼んでいた？,おじゃまたくし,おやまたくし,おじゃじゃたくし,おまじゃたくし,0,一度覚え間違えると、正しく覚えなおすのに時間がかかりますよね。
1,「猫の恩返し」より、ネコたちがプレゼントとしてハルの靴箱に入れたものは何？,ミミズ,カエル,おはな,ネズミ,3,相手がネコだとはいえ、あまり喜べるプレゼントではありませんね。
2,「もののけ姫」より、アシタカの相棒として出てくる大カモシカ(アカシシ)の名前は？,ヤックル,サン,乙事主（おっことぬし）,トキ,0,主人であるアシタカと常に一心同体の関係にあるヤックルは、もののけ姫において癒しですね。
2,「もののけ姫」より、映画『もののけ姫』は設定上だと日本の何時代にあたる？,鎌倉時代あたり,飛鳥時代あたり,江戸時代あたり,室町時代あたり,3,「もののけ姫」の時代設定は室町時代と言われています。石火矢という火砲の一種が出てくるところからその辺りと推察できるようです。
2,「魔女の宅急便」より、主人公である魔女の名前は？,キキ,ジジ,トンボ,バーサ,0,キキは魔女の掟である「独り立ちの日」を迎えた13歳の元気で、飛ぶことだけが得意な魔女の女の子です。
2,「ハウルの動く城」より、ハウルと契約を交わしハウル自身と動く城に魔力を供給する火の悪魔の名前は何？,ソフィー・ハッター,マルクル,カルシファー,かかしのカブ,2,常に城のかまどに括られて使役されており、その契約からカルシファーの生死はハウルのものと直結していました。
2,「魔女の宅急便」より、主人公の相棒として出てくる黒猫の名前は何,キキ,トンボ,バーサ,ジジ,3,キキの魔法で会話出来てますが、キキ以外の人間とは会話できません。
